rank,ID,Model,ModelParameters,TransformationParameters,Ensemble,Runs,smape,mae,rmse,made,mage,custom,underestimate,mle,overestimate,imle,spl,containment,contour,maxe,oda,dwae,mqae,ewmae,uwmse,smoothness,mate,wasserstein,dwd,matse,smape_weighted,mae_weighted,rmse_weighted,made_weighted,mage_weighted,custom_weighted,mle_weighted,imle_weighted,spl_weighted,maxe_weighted,oda_weighted,dwae_weighted,mqae_weighted,ewmae_weighted,uwmse_weighted,smoothness_weighted,mate_weighted,wasserstein_weighted,dwd_weighted,matse_weighted,containment_weighted,contour_weighted,TotalRuntimeSeconds,Score,lowest_series_mape,lowest_series_mape_name,highest_series_mape,highest_series_mape_name
0,03bc633beada8e89cce1f664eef5c3a1,WindowRegression,"{""window_size"": 10, ""input_dim"": ""univariate"", ""output_dim"": ""forecast_length"", ""normalize_window"": false, ""max_windows"": 5000, ""fourier_encoding_components"": null, ""scale"": true, ""datepart_method"": null, ""regression_type"": null, ""regression_model"": {""model"": ""BayesianRidge"", ""model_params"": {}}}","{""fillna"": ""seasonal_linear_window_3"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""DifferencedTransformer"", ""2"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {""lag"": 1, ""fill"": ""bfill""}, ""1"": {""lag"": 1, ""fill"": ""zero""}, ""2"": {""lag"": 1, ""fill"": ""bfill""}}}",0,3,167.04898241010468,1.085855709665113e+34,8.411002157776287e+34,2.8490045858447493e+34,1.085855709665113e+34,0.0,-479.7330803871155,6.109486619098533,1.9545402773972035e+36,1.085855709665113e+34,1.4245022929223746e+34,0.5944444444444444,0.4777777777777778,1.9545402769189325e+36,0.47222222222222227,9.633703174098135e+34,33.82287989057155,9.289140016808186e+34,2.7842471053988545e+70,39.63009131851076,6.515134257990678e+35,7.12251146565759e+34,1.2820520638392806e+35,1.7901019569639707e+33,167.04898241010468,1.085855709665113e+34,8.411002157776287e+34,2.8490045858447493e+34,1.085855709665113e+34,0.0,6.109486619098533,1.085855709665113e+34,1.4245022929223746e+34,1.9545402769189325e+36,0.47222222222222227,9.633703174098135e+34,33.82287989057155,9.289140016808186e+34,2.7842471053988545e+70,39.63009131851076,6.515134257990678e+35,7.12251146565759e+34,1.2820520638392806e+35,1.7901019569639707e+33,0.5944444444444444,0.4777777777777778,0.24566666666666667,6.105037594118782e+35,4.8752326209711096e+35,Wh,4.8752326209711096e+35,Wh
1,5bd8938cb3efee5ab447706fe24f97ed,DatepartRegression,"{""regression_model"": {""model"": ""RandomForest"", ""model_params"": {""n_estimators"": 100, ""min_samples_leaf"": 2, ""bootstrap"": true}}, ""datepart_method"": ""expanded"", ""polynomial_degree"": null, ""holiday_countries_used"": false, ""lags"": null, ""forward_lags"": null, ""regression_type"": null}","{""fillna"": ""ffill"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""DifferencedTransformer"", ""2"": ""DifferencedTransformer"", ""3"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {""lag"": 1, ""fill"": ""bfill""}, ""1"": {""lag"": 1, ""fill"": ""bfill""}, ""2"": {""lag"": 1, ""fill"": ""zero""}, ""3"": {""lag"": 1, ""fill"": ""bfill""}}}",0,1,197.9582496047557,5.422268550985484,5.474295182013316,1.1966908708419215,5.422268550985484,0.0,-325.33611305912905,5.422268550985484,0.0,1.85280449498373,260608.8015308737,1.0,0.55,6.628880023956299,0.8,5.053580712791837,5.228508287076189,20.5375007337751,82.32433434233164,0.057625001913690535,325.33611305912905,339.915889353742,19.959618875288605,0.9912997823104349,197.9582496047557,5.422268550985484,5.474295182013316,1.1966908708419215,5.422268550985484,0.0,5.422268550985484,1.85280449498373,260608.8015308737,6.628880023956299,0.8,5.053580712791837,5.228508287076189,20.5375007337751,82.32433434233164,0.057625001913690535,325.33611305912905,339.915889353742,19.959618875288605,0.9912997823104349,1.0,0.55,0.2342,4266272.197461554,81.14896630720516,Wh,81.14896630720516,Wh
2,22e74b19e06e084f4a20a2eb6ea1ec15,DatepartRegression,"{""regression_model"": {""model"": ""ElasticNet"", ""model_params"": {""l1_ratio"": 0.5, ""fit_intercept"": true, ""selection"": ""cyclic"", ""max_iter"": 1000}}, ""datepart_method"": ""expanded"", ""polynomial_degree"": null, ""holiday_countries_used"": false, ""lags"": null, ""forward_lags"": null, ""regression_type"": null}","{""fillna"": ""quadratic"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""DifferencedTransformer"", ""2"": ""DifferencedTransformer"", ""3"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {""lag"": 1, ""fill"": ""bfill""}, ""1"": {""lag"": 7, ""fill"": ""bfill""}, ""2"": {""lag"": 1, ""fill"": ""zero""}, ""3"": {""lag"": 1, ""fill"": ""bfill""}}}",0,1,186.7894151956515,5.088869963477676,5.268809840417813,1.110956481428667,5.088869963477676,0.0,-304.64645355567336,5.087185776949135,0.685744252987206,1.7585614945581374,194663.42641407577,1.0,0.5666666666666667,6.628880023956299,0.8,4.8468420888175885,4.836348966512756,20.181471094396702,62.901564586394734,0.1104740016981172,303.96070930268615,298.71504420177047,18.47802700072934,0.9261688846325975,186.7894151956515,5.088869963477676,5.268809840417813,1.110956481428667,5.088869963477676,0.0,5.087185776949135,1.7585614945581374,194663.42641407577,6.628880023956299,0.8,4.8468420888175885,4.836348966512756,20.181471094396702,62.901564586394734,0.1104740016981172,303.96070930268615,298.71504420177047,18.47802700072934,0.9261688846325975,1.0,0.5666666666666667,0.1047,3186760.69012496,76.1593663841944,Wh,76.1593663841944,Wh
3,4975ae2a054cc1b48ce6396893a93190,ARIMA,"{""p"": 0, ""d"": 0, ""q"": 3, ""regression_type"": null}","{""fillna"": ""ffill"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""DifferencedTransformer"", ""2"": ""DifferencedTransformer"", ""3"": ""DifferencedTransformer"", ""4"": ""Scaler""}, ""transformation_params"": {""0"": {""lag"": 1, ""fill"": ""bfill""}, ""1"": {""lag"": 7, ""fill"": ""bfill""}, ""2"": {""lag"": 1, ""fill"": ""bfill""}, ""3"": {""lag"": 1, ""fill"": ""zero""}, ""4"": {}}}",0,1,162.77825482429975,232.2501564154524,321.221985379168,24.838042999418295,232.2501564154524,0.0,0.0,4.647530354917996,13935.009384927145,232.2501564154524,183767.24322602936,1.0,0.45,750.7151011620878,0.2,451.546802503185,160.57635236924625,1479.5152642493738,354005.42119263083,0.40503224512716707,13935.009384927145,6797.833384578203,429.49871093907484,42.46000125802673,162.77825482429975,232.2501564154524,321.221985379168,24.838042999418295,232.2501564154524,0.0,4.647530354917996,232.2501564154524,183767.24322602936,750.7151011620878,0.2,451.546802503185,160.57635236924625,1479.5152642493738,354005.42119263083,0.40503224512716707,13935.009384927145,6797.833384578203,429.49871093907484,42.46000125802673,1.0,0.45,0.1166,3010847.7368397033,3475.825651308861,Wh,3475.825651308861,Wh
4,a24340df5172e57841973cf3482b49b6,ARIMA,"{""p"": 4, ""d"": 0, ""q"": 3, ""regression_type"": null}","{""fillna"": ""ffill"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""DifferencedTransformer"", ""2"": ""DifferencedTransformer"", ""3"": ""DifferencedTransformer"", ""4"": ""Scaler""}, ""transformation_params"": {""0"": {""lag"": 1, ""fill"": ""bfill""}, ""1"": {""lag"": 7, ""fill"": ""bfill""}, ""2"": {""lag"": 1, ""fill"": ""bfill""}, ""3"": {""lag"": 1, ""fill"": ""zero""}, ""4"": {}}}",0,1,165.5557332290945,266.16727850077143,367.78930505332744,28.42762136368628,266.16727850077143,0.0,0.0,4.787249118384466,15970.036710046286,266.16727850077143,174416.06456980706,1.0,0.45,859.2079757788115,0.2,516.9824413912708,184.18998428154532,1694.3265847062883,463931.62399345945,0.44895936321163626,15970.036710046286,7805.85775553716,496.82930829625644,48.660733557363415,165.5557332290945,266.16727850077143,367.78930505332744,28.42762136368628,266.16727850077143,0.0,4.787249118384466,266.16727850077143,174416.06456980706,859.2079757788115,0.2,516.9824413912708,184.18998428154532,1694.3265847062883,463931.62399345945,0.44895936321163626,15970.036710046286,7805.85775553716,496.82930829625644,48.660733557363415,1.0,0.45,0.4615,2858142.1365450253,3983.424891637651,Wh,3983.424891637651,Wh
5,43ae8b8ebb83c1e42c356ecdc3957550,WindowRegression,"{""window_size"": 16, ""input_dim"": ""univariate"", ""output_dim"": ""1step"", ""normalize_window"": false, ""max_windows"": 5000, ""fourier_encoding_components"": null, ""scale"": true, ""datepart_method"": null, ""regression_type"": null, ""regression_model"": {""model"": ""KNN"", ""model_params"": {""n_neighbors"": 5, ""weights"": ""uniform"", ""p"": 2, ""leaf_size"": 30}}}","{""fillna"": ""zero"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""DifferencedTransformer"", ""2"": ""DifferencedTransformer"", ""3"": ""Scaler"", ""4"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {""lag"": 1, ""fill"": ""bfill""}, ""1"": {""lag"": 1, ""fill"": ""zero""}, ""2"": {""lag"": 1, ""fill"": ""bfill""}, ""3"": {}, ""4"": {""lag"": 1, ""fill"": ""zero""}}}",0,4,190.81908432126772,841.8170926363207,1666.6879467431165,47.607201131652815,841.8170926363207,0.0,-1321.140145726502,6.404143465814729,200714.96208699048,838.0206754473743,123908.2884198085,1.0,0.5125000000000001,21317.906982660294,0.7416666666666667,894.3942464206178,303.58487796326915,6683.132739294892,13783886.318237584,1.0368930573531059,50359.44364777021,3386.043979078307,450.8808820524977,108.31187695417024,190.81908432126772,841.8170926363207,1666.6879467431165,47.607201131652815,841.8170926363207,0.0,6.404143465814729,838.0206754473743,123908.2884198085,21317.906982660294,0.7416666666666667,894.3942464206178,303.58487796326915,6683.132739294892,13783886.318237584,1.0368930573531059,50359.44364777021,3386.043979078307,450.8808820524977,108.31187695417024,1.0,0.5125000000000001,1.096475,2039240.1196863404,50127.71117441627,Wh,50127.71117441627,Wh
6,56930fb96b72fa7a47220cd42930dfd3,RollingRegression,"{""regression_model"": {""model"": ""SVM"", ""model_params"": {""C"": 0.25, ""tol"": 0.001, ""epsilon"": 0.01, ""loss"": ""squared_epsilon_insensitive"", ""max_iter"": 100}}, ""holiday"": true, ""mean_rolling_periods"": 30, ""macd_periods"": null, ""std_rolling_periods"": null, ""max_rolling_periods"": 96, ""min_rolling_periods"": 4, ""ewm_var_alpha"": null, ""quantile90_rolling_periods"": null, ""quantile10_rolling_periods"": null, ""ewm_alpha"": null, ""additional_lag_periods"": 11, ""abs_energy"": false, ""rolling_autocorr_periods"": null, ""nonzero_last_n"": null, ""add_date_part"": null, ""polynomial_degree"": null, ""x_transform"": null, ""regression_type"": null}","{""fillna"": ""akima"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""DifferencedTransformer"", ""2"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {""lag"": 1, ""fill"": ""bfill""}, ""1"": {""lag"": 1, ""fill"": ""bfill""}, ""2"": {""lag"": 7, ""fill"": ""bfill""}}}",0,1,182.58912710223726,4567.1316165798435,6888.592592948599,589.8126415998233,4567.1316165798435,0.0,0.0,7.051644184391382,274027.8969947906,4567.1316165798435,9582.655888120924,1.0,0.45,17826.73686955367,0.2,9699.243288934578,2809.586677777602,31023.507226949205,178316252.68055615,2.78624618155993,274027.8969947906,114066.35633905593,9034.891510812738,834.9635461113153,182.58912710223726,4567.1316165798435,6888.592592948599,589.8126415998233,4567.1316165798435,0.0,7.051644184391382,4567.1316165798435,9582.655888120924,17826.73686955367,0.2,9699.243288934578,2809.586677777602,31023.507226949205,178316252.68055615,2.78624618155993,274027.8969947906,114066.35633905593,9034.891510812738,834.9635461113153,1.0,0.45,6.6427,208529.46628497037,68351.09810395692,Wh,68351.09810395692,Wh
7,344713b3a4e677fd5a70b4efddca290d,RollingRegression,"{""regression_model"": {""model"": ""ElasticNet"", ""model_params"": {""l1_ratio"": 0.5, ""fit_intercept"": true, ""selection"": ""cyclic"", ""max_iter"": 1000}}, ""holiday"": false, ""mean_rolling_periods"": 30, ""macd_periods"": null, ""std_rolling_periods"": null, ""max_rolling_periods"": 96, ""min_rolling_periods"": 364, ""ewm_var_alpha"": null, ""quantile90_rolling_periods"": null, ""quantile10_rolling_periods"": null, ""ewm_alpha"": null, ""additional_lag_periods"": 27, ""abs_energy"": false, ""rolling_autocorr_periods"": null, ""nonzero_last_n"": null, ""add_date_part"": null, ""polynomial_degree"": null, ""x_transform"": null, ""regression_type"": null}","{""fillna"": ""akima"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""DifferencedTransformer"", ""2"": ""Scaler"", ""3"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {""lag"": 1, ""fill"": ""zero""}, ""1"": {""lag"": 1, ""fill"": ""bfill""}, ""2"": {}, ""3"": {""lag"": 1, ""fill"": ""bfill""}}}",0,1,187.56590203714708,5.13424510085692,5.277137858071245,1.0643527943065398,5.13424510085692,0.0,-308.0547060514152,5.13424510085692,0.0,1.781256505957522,11439.155611085824,1.0,0.55,6.628880023956299,0.8,4.874213163366384,4.889731481076573,20.230232992057573,63.157504688505135,0.05362206596156246,308.0547060514152,306.5416946113095,19.38784893262514,0.9386433008528993,187.56590203714708,5.13424510085692,5.277137858071245,1.0643527943065398,5.13424510085692,0.0,5.13424510085692,1.781256505957522,11439.155611085824,6.628880023956299,0.8,4.874213163366384,4.889731481076573,20.230232992057573,63.157504688505135,0.05362206596156246,308.0547060514152,306.5416946113095,19.38784893262514,0.9386433008528993,1.0,0.55,0.354,187452.9448443317,76.8384447920139,Wh,76.8384447920139,Wh
8,f30e79b819423e1fd29f1932960c8091,RollingRegression,"{""regression_model"": {""model"": ""SVM"", ""model_params"": {""C"": 0.25, ""tol"": 0.001, ""epsilon"": 0.01, ""loss"": ""squared_epsilon_insensitive"", ""max_iter"": 100}}, ""holiday"": true, ""mean_rolling_periods"": 30, ""macd_periods"": null, ""std_rolling_periods"": null, ""max_rolling_periods"": 74, ""min_rolling_periods"": 4, ""ewm_var_alpha"": null, ""quantile90_rolling_periods"": null, ""quantile10_rolling_periods"": null, ""ewm_alpha"": null, ""additional_lag_periods"": 23, ""abs_energy"": false, ""rolling_autocorr_periods"": null, ""nonzero_last_n"": null, ""add_date_part"": null, ""polynomial_degree"": null, ""x_transform"": null, ""regression_type"": null}","{""fillna"": ""time"", ""transformations"": {""0"": ""DifferencedTransformer"", ""1"": ""DifferencedTransformer"", ""2"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {""lag"": 1, ""fill"": ""bfill""}, ""1"": {""lag"": 1, ""fill"": ""bfill""}, ""2"": {""lag"": 1, ""fill"": ""bfill""}}}",0,1,194.93555438815682,5.336007578642869,5.414355173054238,1.176766590107005,5.336007578642869,0.0,-320.16045471857217,5.336007578642869,0.0,1.8330035853866196,10692.927229385043,1.0,0.55,6.628880023956299,0.8,5.007080559960606,5.127024790202524,20.449307001424838,68.02913621249976,0.07491468657919349,320.16045471857217,329.7378341118677,19.788377848947118,0.9755295410726454,194.93555438815682,5.336007578642869,5.414355173054238,1.176766590107005,5.336007578642869,0.0,5.336007578642869,1.8330035853866196,10692.927229385043,6.628880023956299,0.8,5.007080559960606,5.127024790202524,20.449307001424838,68.02913621249976,0.07491468657919349,320.16045471857217,329.7378341118677,19.788377848947118,0.9755295410726454,1.0,0.55,6.5483,175245.16400076632,79.85799580796912,Wh,79.85799580796912,Wh
9,a916576addbaa7f4f95fdd3dc64574dc,ARIMA,"{""p"": 1, ""d"": 0, ""q"": 12, ""regression_type"": ""Holiday""}","{""fillna"": ""cubic"", ""transformations"": {""0"": ""Scaler"", ""1"": ""DifferencedTransformer"", ""2"": ""DifferencedTransformer"", ""3"": ""DifferencedTransformer""}, ""transformation_params"": {""0"": {}, ""1"": {""lag"": 1, ""fill"": ""bfill""}, ""2"": {""lag"": 1, ""fill"": ""zero""}, ""3"": {""lag"": 1, ""fill"": ""bfill""}}}",0,1,100.05001513034459,22.389041043368156,31.379658174290306,2.712743298283999,22.389041043368156,0.0,-1.1654973128689106,2.4720210777054406,1342.1769652892203,22.385849927057848,10223.60527200571,1.0,0.4666666666666667,73.33870129847354,0.23333333333333334,44.19089097912189,15.326492248458798,144.0889357101968,3378.406930200331,0.2591094416338412,1341.0114679763515,632.1704428873785,19.918772215738205,4.0860646049433464,100.05001513034459,22.389041043368156,31.379658174290306,2.712743298283999,22.389041043368156,0.0,2.4720210777054406,22.385849927057848,10223.60527200571,73.33870129847354,0.23333333333333334,44.19089097912189,15.326492248458798,144.0889357101968,3378.406930200331,0.2591094416338412,1341.0114679763515,632.1704428873785,19.918772215738205,4.0860646049433464,1.0,0.4666666666666667,1.8711,167679.60625910707,335.0714779607713,Wh,335.0714779607713,Wh
